SMILES_x,Original_SMILES,O_ATSC1pe,O_MATS2c,O_SlogP_VSA2,SMILES_y,P_ATSC1pe,P_MATS2c,P_SlogP_VSA2,AvgSimilarity,SMILES,ATSC1pe,MATS2c,SlogP_VSA2
C/C(=C\C=CO)C1=CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.425383333,0.105747587,17.48690359,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.757737704,C/C(=C\C=CO)C1=CCN=C1N,-0.425383333,0.105747587,17.48690359
CNC/C=C(\C)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.136017241,0.083997921,25.97280458,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.773286521,CNC/C=C(\C)C1CCN=C1N,-0.136017241,0.083997921,25.97280458
CN=C/C=C(\C)C1C=CN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.101528,0.069250168,19.09789235,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.749679115,CN=C/C=C(\C)C1C=CN=C1N,-0.101528,0.069250168,19.09789235
NCC/C=C(\N)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.5831,0.117604644,18.9251326,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.71189329,NCC/C=C(\N)C1CCN=C1N,-0.5831,0.117604644,18.9251326
NC1=NC=CC1C(N)=C=CCO,C1(F)C(/C(/N)=C/CON)CON=1,-0.781126087,0.099571364,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.708526775,NC1=NC=CC1C(N)=C=CCO,-0.781126087,0.099571364,17.54902915
NC1=NCCC1/C(N)=C/CCF,C1(F)C(/C(/N)=C/CON)CON=1,-0.497538462,0.11193965,19.05496716,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.744285652,NC1=NCCC1/C(N)=C/CCF,-0.497538462,0.11193965,19.05496716
CNC/C=C(\N)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.4116,0.086607097,25.97280458,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.703824623,CNC/C=C(\N)C1CCN=C1N,-0.4116,0.086607097,25.97280458
CNC/C=C(\N)C1=C=CN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.537366667,0.07800578,19.42804817,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.719138768,CNC/C=C(\N)C1=C=CN=C1N,-0.537366667,0.07800578,19.42804817
CN=C/C=C(\N)C1C=CN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.4116,0.06568998,19.09789235,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.718137237,CN=C/C=C(\N)C1C=CN=C1N,-0.4116,0.06568998,19.09789235
NN=C/C=C(\N)C1=CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.550291304,0.097029906,18.59497677,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.76977025,NN=C/C=C(\N)C1=CCN=C1N,-0.550291304,0.097029906,18.59497677
N=NC/C=C(\N)C1=CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.408617391,0.106081955,18.9251326,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.78825254,N=NC/C=C(\N)C1=CCN=C1N,-0.408617391,0.106081955,18.9251326
CCC/C=C(\O)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.340114286,0.104876993,17.48690359,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.798139478,CCC/C=C(\O)C1CCN=C1N,-0.340114286,0.104876993,17.48690359
CC=C/C=C(\O)C1=CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.425383333,0.122904622,17.48690359,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.715934853,CC=C/C=C(\O)C1=CCN=C1N,-0.425383333,0.122904622,17.48690359
CCC/C=C(\F)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.188377778,0.164597596,12.38037619,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.735121253,CCC/C=C(\F)C1CCN=C1N,-0.188377778,0.164597596,12.38037619
NCC/C=C(\F)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.497538462,0.123457263,18.9251326,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.718101956,NCC/C=C(\F)C1CCN=C1N,-0.497538462,0.123457263,18.9251326
NC1=NCCC1/C(F)=C/CCO,C1(F)C(/C(/N)=C/CON)CON=1,-0.5365,0.091243842,24.09378555,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.702707188,NC1=NCCC1/C(F)=C/CCO,-0.5365,0.091243842,24.09378555
NC1=NCCC1/C(F)=C/CCF,C1(F)C(/C(/N)=C/CON)CON=1,-0.32095,0.121000507,19.05496716,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.794245369,NC1=NCCC1/C(F)=C/CCF,-0.32095,0.121000507,19.05496716
CNC/C=C(\F)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.326038462,0.085921748,25.97280458,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.74243751,CNC/C=C(\F)C1CCN=C1N,-0.326038462,0.085921748,25.97280458
NC1=NCC=C1/C(F)=C/C=NO,C1(F)C(/C(/N)=C/CON)CON=1,-0.359475,0.081440343,23.8022298,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.730577729,NC1=NCC=C1/C(F)=C/C=NO,-0.359475,0.081440343,23.8022298
COC/C=C(\F)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.225,0.051303653,26.0970557,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.708418203,COC/C=C(\F)C1CCN=C1N,-0.225,0.051303653,26.0970557
NOC/C=C(\F)C1CCN=C1N,C1(F)C(/C(/N)=C/CON)CON=1,-0.192841667,0.020866039,18.98725816,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.739550178,NOC/C=C(\F)C1CCN=C1N,-0.192841667,0.020866039,18.98725816
CCC/C=C(\C)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.094031034,0.123347158,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.727267645,CCC/C=C(\C)C1CCN=C1O,-0.094031034,0.123347158,17.54902915
CCC=C=C(C)C1=CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.136516,0.166202724,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.734446489,CCC=C=C(C)C1=CCN=C1O,-0.136516,0.166202724,17.54902915
C/C(=C\CCN)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.340114286,0.094905978,24.09378555,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.784795876,C/C(=C\CCN)C1CCN=C1O,-0.340114286,0.094905978,24.09378555
C/C(=C\C=C=N)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.301454167,0.113178008,23.41882821,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.763415162,C/C(=C\C=C=N)C1CCN=C1O,-0.301454167,0.113178008,23.41882821
C/C(=C\C=CF)C1=CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.139995794,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.774188943,C/C(=C\C=CF)C1=CCN=C1O,-0.268218182,0.139995794,17.54902915
C/C(=C\C=CF)C1C=CN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.085552175,11.00427274,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.733257681,C/C(=C\C=CF)C1C=CN=C1O,-0.268218182,0.085552175,11.00427274
CNC/C=C(\C)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.168614286,0.067374386,31.14145753,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.73081953,CNC/C=C(\C)C1CCN=C1O,-0.168614286,0.067374386,31.14145753
CNC=C=C(C)C1C=CN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.253883333,0.053183393,18.05194472,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.756973331,CNC=C=C(C)C1C=CN=C1O,-0.253883333,0.053183393,18.05194472
CCC/C=C(\N)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.340114286,0.118312498,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.764942053,CCC/C=C(\N)C1CCN=C1O,-0.340114286,0.118312498,17.54902915
C=C=C/C=C(\N)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.425383333,0.111465765,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.743466534,C=C=C/C=C(\N)C1CCN=C1O,-0.425383333,0.111465765,17.54902915
N/C(=C\CCF)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.5365,0.093332594,24.22362012,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.708628432,N/C(=C\CCF)C1CCN=C1O,-0.5365,0.093332594,24.22362012
N/C(=C\CNF)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.068241667,0.095760167,24.09378555,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.711188846,N/C(=C\CNF)C1CCN=C1O,-0.068241667,0.095760167,24.09378555
CCC/C=C(\O)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.372459259,0.092214491,22.65555654,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.775598821,CCC/C=C(\O)C1CCN=C1O,-0.372459259,0.092214491,22.65555654
CC=C=C=C(O)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.46706087,0.100859355,22.65555654,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.731022728,CC=C=C=C(O)C1CCN=C1O,-0.46706087,0.100859355,22.65555654
OC1=NCCC1/C(O)=C/CNF,C1(F)C(/C(/N)=C/CON)CON=1,-0.141843478,0.077856327,29.20031295,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.734870202,OC1=NCCC1/C(O)=C/CNF,-0.141843478,0.077856327,29.20031295
OC1=NCC=C1/C(O)=C/C=NF,C1(F)C(/C(/N)=C/CON)CON=1,-0.175057895,0.125013641,28.87015712,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.77483921,OC1=NCC=C1/C(O)=C/C=NF,-0.175057895,0.125013641,28.87015712
OC1=NCCC1C(O)=C=C=NF,C1(F)C(/C(/N)=C/CON)CON=1,-0.175057895,0.116618124,28.5253556,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.795724521,OC1=NCCC1C(O)=C=C=NF,-0.175057895,0.116618124,28.5253556
C=C=C/C=C(\F)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.129046404,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.793381436,C=C=C/C=C(\F)C1CCN=C1O,-0.268218182,0.129046404,17.54902915
CC=C=C=C(F)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.13437333,17.54902915,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.783653515,CC=C=C=C(F)C1CCN=C1O,-0.268218182,0.13437333,17.54902915
O=CC/C=C(\F)C1=CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.3736,0.120040207,23.83518967,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.701488742,O=CC/C=C(\F)C1=CCN=C1O,-0.3736,0.120040207,23.83518967
O=CC/C=C(\F)C1C=CN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.3736,0.077438144,17.29043326,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.74750781,O=CC/C=C(\F)C1C=CN=C1O,-0.3736,0.077438144,17.29043326
O=CC=C=C(F)C1CCN=C1O,C1(F)C(/C(/N)=C/CON)CON=1,-0.3736,0.092641082,23.83518967,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.76274467,O=CC=C=C(F)C1CCN=C1O,-0.3736,0.092641082,23.83518967
OC1=NCCC1/C(F)=C/CCF,C1(F)C(/C(/N)=C/CON)CON=1,-0.3349,0.104887017,24.22362012,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.755241942,OC1=NCCC1/C(F)=C/CCF,-0.3349,0.104887017,24.22362012
CCC/C=C(\N)C1CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.188377778,0.053452681,12.51021076,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.732565847,CCC/C=C(\N)C1CCN=C1F,-0.188377778,0.053452681,12.51021076
CC=C=C=C(N)C1CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.250965217,0.085707069,12.51021076,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.776732542,CC=C=C=C(N)C1CCN=C1F,-0.250965217,0.085707069,12.51021076
NCC=C=C(N)C1=CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.619181818,0.093513873,19.05496716,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.764111293,NCC=C=C(N)C1=CCN=C1F,-0.619181818,0.093513873,19.05496716
NC(=C=CCF)C1=CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.41944,0.071268045,19.18480173,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.733286855,NC(=C=CCF)C1=CCN=C1F,-0.41944,0.071268045,19.18480173
CCC/C=C(\O)C1CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.200569231,0.036377267,17.61673815,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.757719353,CCC/C=C(\O)C1CCN=C1F,-0.200569231,0.036377267,17.61673815
C=CC/C=C(\O)C1=CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.046298288,17.61673815,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.711630682,C=CC/C=C(\O)C1=CCN=C1F,-0.268218182,0.046298288,17.61673815
C=CC=C=C(O)C1CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.268218182,0.061390167,17.61673815,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.764584645,C=CC=C=C(O)C1CCN=C1F,-0.268218182,0.061390167,17.61673815
N=C=C/C=C(\F)C1CCN=C1F,C1(F)C(/C(/N)=C/CON)CON=1,-0.22246,0.048586996,18.38000982,C1(F)C(/C(/N)=C/CON)CON=1,-0.193,0.095,18.984,0.782399338,N=C=C/C=C(\F)C1CCN=C1F,-0.22246,0.048586996,18.38000982
NCNCCC1CC1,C1N(CCOCN)C1,-0.165263636,0.062920209,13.21344759,C1N(CCOCN)C1,-0.193,0.095,18.984,0.738212335,NCNCCC1CC1,-0.165263636,0.062920209,13.21344759
NC=NCCC1C=C1,C1N(CCOCN)C1,-0.1372,0.118826572,12.88329177,C1N(CCOCN)C1,-0.193,0.095,18.984,0.729668261,NC=NCCC1C=C1,-0.1372,0.118826572,12.88329177
NCNC=CC1C=C1,C1N(CCOCN)C1,-0.2401,0.096145761,6.668691189,C1N(CCOCN)C1,-0.193,0.095,18.984,0.714398126,NCNC=CC1C=C1,-0.2401,0.096145761,6.668691189
NC=NCC=C1CC1,C1N(CCOCN)C1,-0.1372,0.127003036,12.88329177,C1N(CCOCN)C1,-0.193,0.095,18.984,0.712511305,NC=NCC=C1CC1,-0.1372,0.127003036,12.88329177
NCNCCC1=C=C1,C1N(CCOCN)C1,-0.2401,0.065452644,13.21344759,C1N(CCOCN)C1,-0.193,0.095,18.984,0.72961256,NCNCCC1=C=C1,-0.2401,0.065452644,13.21344759
OCNCCC1CC1,C1N(CCOCN)C1,-0.200719048,0.040190018,18.38210055,C1N(CCOCN)C1,-0.193,0.095,18.984,0.784296743,OCNCCC1CC1,-0.200719048,0.040190018,18.38210055
OCNC=CC1C=C1,C1N(CCOCN)C1,-0.2883,0.07687723,11.83734414,C1N(CCOCN)C1,-0.193,0.095,18.984,0.700739587,OCNC=CC1C=C1,-0.2883,0.07687723,11.83734414
OCOCCC1=C=C1,C1N(CCOCN)C1,-0.198025,0.014783052,18.50635167,C1N(CCOCN)C1,-0.193,0.095,18.984,0.701691639,OCOCCC1=C=C1,-0.198025,0.014783052,18.50635167
CCC(C)CCNCN,FCN(O)CCOCN,-0.167131001,0.073200579,13.21344759,FCN(O)CCOCN,-0.193,0.095,18.984,0.777508963,CCC(C)CCNCN,-0.167131001,0.073200579,13.21344759
C=C=C(C)CCNCN,FCN(O)CCOCN,-0.209495841,0.064139028,13.21344759,FCN(O)CCOCN,-0.193,0.095,18.984,0.764145913,C=C=C(C)CCNCN,-0.209495841,0.064139028,13.21344759
CC=C(C)C=CNCN,FCN(O)CCOCN,-0.209495841,0.089672228,6.668691189,FCN(O)CCOCN,-0.193,0.095,18.984,0.738819028,CC=C(C)C=CNCN,-0.209495841,0.089672228,6.668691189
C=C(C=CNCN)CC,FCN(O)CCOCN,-0.209495841,0.094845329,6.668691189,FCN(O)CCOCN,-0.193,0.095,18.984,0.75697026,C=C(C=CNCN)CC,-0.209495841,0.094845329,6.668691189
C=C(C=CNCO)CC,FCN(O)CCOCN,-0.23431219,0.076052051,11.83734414,FCN(O)CCOCN,-0.193,0.095,18.984,0.749259503,C=C(C=CNCO)CC,-0.23431219,0.076052051,11.83734414
C=C=C(C)CCNCO,FCN(O)CCOCN,-0.23431219,0.042628124,18.38210055,FCN(O)CCOCN,-0.193,0.095,18.984,0.746899626,C=C=C(C)CCNCO,-0.23431219,0.042628124,18.38210055
C=CC(N)=CCNCC,FCN(O)CCOCN,-0.209495841,0.06910024,13.08951281,FCN(O)CCOCN,-0.193,0.095,18.984,0.779377549,C=CC(N)=CCNCC,-0.209495841,0.06910024,13.08951281
CCC(N)CCNCN,FCN(O)CCOCN,-0.380605325,0.077761184,19.25528842,FCN(O)CCOCN,-0.193,0.095,18.984,0.770512237,CCC(N)CCNCN,-0.380605325,0.077761184,19.25528842
CCC(N)=CC=NCN,FCN(O)CCOCN,-0.3626,0.106513512,12.88329177,FCN(O)CCOCN,-0.193,0.095,18.984,0.700937351,CCC(N)=CC=NCN,-0.3626,0.106513512,12.88329177
CCC(N)CCN=C=N,FCN(O)CCOCN,-0.2597,0.146553301,18.59497677,FCN(O)CCOCN,-0.193,0.095,18.984,0.790300448,CCC(N)CCN=C=N,-0.2597,0.146553301,18.59497677
CCC(=N)CCNC=N,FCN(O)CCOCN,-0.2597,0.064109917,18.59497677,FCN(O)CCOCN,-0.193,0.095,18.984,0.799171421,CCC(=N)CCNC=N,-0.2597,0.064109917,18.59497677
CCC(N)=CC=NCO,FCN(O)CCOCN,-0.404962812,0.075467029,18.05194472,FCN(O)CCOCN,-0.193,0.095,18.984,0.740626623,CCC(N)=CC=NCO,-0.404962812,0.075467029,18.05194472
C=C=C(N)CCNCO,FCN(O)CCOCN,-0.522096145,0.116918333,18.38210055,FCN(O)CCOCN,-0.193,0.095,18.984,0.716830354,C=C=C(N)CCNCO,-0.522096145,0.116918333,18.38210055
CCC(N)C=CN=CO,FCN(O)CCOCN,-0.404962812,0.103903211,17.54902915,FCN(O)CCOCN,-0.193,0.095,18.984,0.771770332,CCC(N)C=CN=CO,-0.404962812,0.103903211,17.54902915
CC=C(N)CCNC=O,FCN(O)CCOCN,-0.309343764,0.090154678,12.95485171,FCN(O)CCOCN,-0.193,0.095,18.984,0.751768981,CC=C(N)CCNC=O,-0.309343764,0.090154678,12.95485171
C=CC(N)=CCNCF,FCN(O)CCOCN,-0.378564,0.099974976,13.34328216,FCN(O)CCOCN,-0.193,0.095,18.984,0.720976336,C=CC(N)=CCNCF,-0.378564,0.099974976,13.34328216
C=C=C(N)CCNCF,FCN(O)CCOCN,-0.378564,0.086769124,13.34328216,FCN(O)CCOCN,-0.193,0.095,18.984,0.708683476,C=C=C(N)CCNCF,-0.378564,0.086769124,13.34328216
CCC(N)CCOCN,FCN(O)CCOCN,-0.28304064,0.057516518,19.37953954,FCN(O)CCOCN,-0.193,0.095,18.984,0.755635917,CCC(N)CCOCN,-0.28304064,0.057516518,19.37953954
C=CC(=N)CCOCN,FCN(O)CCOCN,-0.264962812,0.053220723,19.04938371,FCN(O)CCOCN,-0.193,0.095,18.984,0.761729973,C=CC(=N)CCOCN,-0.264962812,0.053220723,19.04938371
C=CC(N)=CCOCO,FCN(O)CCOCN,-0.442701,0.101690703,18.50635167,FCN(O)CCOCN,-0.193,0.095,18.984,0.781668318,C=CC(N)=CCOCO,-0.442701,0.101690703,18.50635167
C=C=C(N)CCOCO,FCN(O)CCOCN,-0.442701,0.093288631,18.50635167,FCN(O)CCOCN,-0.193,0.095,18.984,0.797595058,C=C=C(N)CCOCO,-0.442701,0.093288631,18.50635167
CCCC=C=C(O)CC,FCN(O)CCOCN,-0.186727599,0.09275268,5.106527395,FCN(O)CCOCN,-0.193,0.095,18.984,0.737611879,CCCC=C=C(O)CC,-0.186727599,0.09275268,5.106527395
CC=C(O)CCNC=N,FCN(O)CCOCN,-0.404962812,0.078573724,17.98981916,FCN(O)CCOCN,-0.193,0.095,18.984,0.750436465,CC=C(O)CCNC=N,-0.404962812,0.078573724,17.98981916
CCC(O)=CCN=CN,FCN(O)CCOCN,-0.404962812,0.120209579,17.98981916,FCN(O)CCOCN,-0.193,0.095,18.984,0.738167999,CCC(O)=CCN=CN,-0.404962812,0.120209579,17.98981916
CC=C(O)CCN=CN,FCN(O)CCOCN,-0.404962812,0.110828209,17.98981916,FCN(O)CCOCN,-0.193,0.095,18.984,0.760466684,CC=C(O)CCN=CN,-0.404962812,0.110828209,17.98981916
CCC(=O)CC=NCN,FCN(O)CCOCN,-0.192210431,0.032249012,18.66653671,FCN(O)CCOCN,-0.193,0.095,18.984,0.772883192,CCC(=O)CC=NCN,-0.192210431,0.032249012,18.66653671
CCC(O)CCN=C=N,FCN(O)CCOCN,-0.287829478,0.103096238,23.76362972,FCN(O)CCOCN,-0.193,0.095,18.984,0.79695763,CCC(O)CCN=C=N,-0.287829478,0.103096238,23.76362972
CCC(O)C=CNC=O,FCN(O)CCOCN,-0.341511,0.05987248,17.62058909,FCN(O)CCOCN,-0.193,0.095,18.984,0.70785107,CCC(O)C=CNC=O,-0.341511,0.05987248,17.62058909
CCC(O)=CCN=CF,FCN(O)CCOCN,-0.262703047,0.048579081,18.11965373,FCN(O)CCOCN,-0.193,0.095,18.984,0.733499437,CCC(O)=CCN=CF,-0.262703047,0.048579081,18.11965373
C=CC(O)=CCNCF,FCN(O)CCOCN,-0.41640831,0.06726461,18.44980956,FCN(O)CCOCN,-0.193,0.095,18.984,0.714465643,C=CC(O)=CCNCF,-0.41640831,0.06726461,18.44980956
CCC(O)C=COC=N,FCN(O)CCOCN,-0.309911,0.067927468,17.6111547,FCN(O)CCOCN,-0.193,0.095,18.984,0.755156501,CCC(O)C=COC=N,-0.309911,0.067927468,17.6111547
C=CC(=O)CCOCN,FCN(O)CCOCN,-0.201511,0.040217881,19.12094366,FCN(O)CCOCN,-0.193,0.095,18.984,0.79131608,C=CC(=O)CCOCN,-0.201511,0.040217881,19.12094366
CCC(O)=CCOC=N,FCN(O)CCOCN,-0.309911,0.066211742,18.11407028,FCN(O)CCOCN,-0.193,0.095,18.984,0.757966926,CCC(O)=CCOC=N,-0.309911,0.066211742,18.11407028
CCC(=O)C=COCN,FCN(O)CCOCN,-0.201511,0.052892662,12.51406169,FCN(O)CCOCN,-0.193,0.095,18.984,0.724572962,CCC(=O)C=COCN,-0.201511,0.052892662,12.51406169
CC=C(O)CCOC=N,FCN(O)CCOCN,-0.309911,0.051418292,18.11407028,FCN(O)CCOCN,-0.193,0.095,18.984,0.706060086,CC=C(O)CCOC=N,-0.309911,0.051418292,18.11407028
CCC(F)CCNCN,FCN(O)CCOCN,-0.296569444,0.046606629,19.38512299,FCN(O)CCOCN,-0.193,0.095,18.984,0.70689295,CCC(F)CCNCN,-0.296569444,0.046606629,19.38512299
CC=C(F)CCN=CN,FCN(O)CCOCN,-0.242344,0.144482049,12.88329177,FCN(O)CCOCN,-0.193,0.095,18.984,0.710849735,CC=C(F)CCN=CN,-0.242344,0.144482049,12.88329177
